id,url,product_title,brand,images,rating,price_before_sale,sale_flag,price_after_sale,details,specifications,material,material_polyester_flag,material_cotton_flag,material_viscose_flag,material_elastane_flag,material_nylon_flag,material_polyester_percentage
10,https://www.thebay.com/product/vero-moda-edith-drawstring-waist-loose-joggers-0600092340679.html?dwvar_0600092340679_color=LIGHT_GREY, Edith Drawstring-Waist Loose Joggers,VERO MODA,"https://image.s5a.com/is/image/TheBay/5715103908911_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103908911_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103908911_alt2?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103908911_alt3?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,55.0,1,33.0,Experience the best of both comfort and style in this cool pair of joggers,"Elasticated waistband with drawstring fastening, Pull-on style, Ribbed waist and cuffs, viscose , L, E, N, Z, I, N, G™ , E, C, O, V, E, R, O™/, polyester, Machine wash, Imported","77% viscose , 23% polyester",1,0,1,0,0,23
11,https://www.thebay.com/product/free-people-arden-cotton-t-shirt-0600091362614.html?dwvar_0600091362614_color=WASHED_ARMY, Arden Cotton T-Shirt,Free People,"https://image.s5a.com/is/image/TheBay/194374279756_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/194374279756_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",3.4,82.0,1,65.6,"Easy and classic, this lightweight long-sleeve cotton tee will be your new go-to","Crewneck, Long sleeves with thumb hole, Curved hem, Cotton, Machine wash, Imported",NA,0,1,0,0,0,0
12,https://www.thebay.com/product/levis-low-pro-mid-rise-straight-jeans-0600092270142.html?dwvar_0600092270142_color=CHARLIE, Low Pro Mid-Rise Straight Jeans,Levi's,"https://image.s5a.com/is/image/TheBay/800322849291_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/800322849291_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",3.7,89.95,1,59.99,A vintage fit made for modern times,"Five-pocket style, Belt loops, Zip fly with front button closure, cotton, Machine wash, Imported",100% cotton,0,1,0,0,0,0
13,https://www.thebay.com/product/free-people-long-ruby-shacket-0600092208740.html?dwvar_0600092208740_color=BLUE, Long Ruby Shacket,Free People,"https://image.s5a.com/is/image/TheBay/195889335784_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/195889335784_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",5.0,232.0,1,185.6,"Perfect for layering up, this winter-to-spring essential features cuffed sleeves and contrasting textures for added dimension","Oversized point collar, Dropped shoulders, Long sleeves, Elbow pads, Button cuffs, Button front, Chest button-flap pockets, cotton/, viscose/, polyester, Machine wash, Imported",78% cotton/12% viscose/10% polyester,1,1,1,0,0,10
14,https://www.thebay.com/product/only-metallica-oversized-graphic-t-shirt-0600092336091.html?dwvar_0600092336091_color=PHANTOM, Metallica Oversized Graphic T-Shirt,ONLY,"https://image.s5a.com/is/image/TheBay/5715101240501_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715101240501_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,39.0,1,27.3,"Casually cool and effortlessly comfy, this cotton tee is featured with an eye-catchy Metallica print and relaxed drop-shoulders in an oversized silhouette","Roundneck, Short sleeves with drop shoulders, Pullover style, Metallica graphic front, cotton, Machine wash, Imported",100% cotton,0,1,0,0,0,0
15,https://www.thebay.com/product/only-checked-mini-skirt-0600092347503.html?dwvar_0600092347503_color=CLOUD_DANCER, Checked Mini Skirt,ONLY,"https://image.s5a.com/is/image/TheBay/5715111314636_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715111314636_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,65.0,1,45.5,"Look elegant and sensual in this mini skirt, featuring an allover check print","Concealed back zip closure, Allover checked print, polyester, Machine wash, Imported",100% polyester,1,0,0,0,0,100
16,https://www.thebay.com/product/free-people-the-it-factor-vegan-leather-trouser-0600092245526.html?dwvar_0600092245526_color=MYSTIC, The It Factor Vegan Leather Trouser,Free People,"https://image.s5a.com/is/image/TheBay/195889218063_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/195889218063_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/195889218063_alt2?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,128.0,1,102.4,"Vintage-inspired and effortlessly edgy, these vegan leather pants are featured in a high-rise, straight-leg silhouette with contrast border seaming throughout for added dimension","Five-pocket style, Belt loops, Button fly, Supple faux leather fabric with white contrast stitching, Face: , polyurethane, Base: , viscose with coated polyurethane, Machine wash, Imported","100% viscose with coated polyurethane, 100% polyurethane",0,0,1,0,0,0
17,https://www.thebay.com/product/moon-river-floral-print-v-neck-puff-sleeves-maxi-dress-0600092204992.html?dwvar_0600092204992_color=BROWN, Floral Print V-Neck Puff Sleeves Maxi Dress,Moon River,"https://image.s5a.com/is/image/TheBay/193993172042_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/193993172042_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/193993172042_alt2?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/193993172042_alt3?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,148.0,1,103.6,"Stand out from the crowd with this gorgeous and comfortable floral print V-neck dress, which features puff sleeves","V-neck, Short puff sleeves, Back zip closure, polyester, Hand wash, Imported",100% polyester,1,0,0,0,0,100
18,https://www.thebay.com/product/tommy-hilfiger-balloon-sleeve-floral-dress-0600092323721.html?dwvar_0600092323721_color=GREEN, Balloon-Sleeve Floral Dress,Tommy Hilfiger,"https://image.s5a.com/is/image/TheBay/195105848999_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/195105848999_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/195105848999_alt2?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,154.0,1,79.99,"In a lively floral print, this dress features a roundneck, long sleeves and a tie waist detail","Roundneck, Long sleeves, Concealed zip with hook-and-eye closure, Tie waist, polyester, Dry clean, Imported",100% polyester,1,0,0,0,0,100
19,https://www.thebay.com/product/design-lab-abbe-faux-fur-trim-plaid-hooded-coat-0600092256233.html?dwvar_0600092256233_color=BLACK, Abbe Faux Fur-Trim Plaid Hooded Coat,Design Lab,"https://image.s5a.com/is/image/TheBay/882870166310_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/882870166310_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,89.0,1,62.3,Plush longline plaid coat with faux fur trim on the cuffs and inner hood,"Attached hood, Dropped shoulders, Long sleeves, Folded cuffs, Button front, Angled patch pockets, Rounded hem, Polyester/acrylic/nylon/wool, Fur type: faux fur, Dry clean, Imported",NA,0,0,0,0,1,0
